domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,unique_macros_used,macros_generated,total_walker_paths,total_walker_actions_generated,walker_average_branching_factor,walker_median_branching_factor,walker_average_path_length,walker_median_path_length
miconic,s14-1.pddl,greedyResumeWalker, ,success,12640,1s_easy,68.0,1,0,1034,258,9216, ,68,0.1575167,0.0159982,84,112867.0,True,True,True,0,0,0,100,36420,7341206,28,28,6,6
miconic,s14-2.pddl,greedyResumeWalker, ,success,12772,1s_easy,67.0,1,0,1090,272,9383, ,67,0.11,0.01,84,115587.0,True,True,True,3,1,1,100,42645,8670973,28,28,6,6
miconic,s14-3.pddl,greedyResumeWalker, ,success,12076,1s_easy,53.0,1,0,694,173,5915, ,53,0.1619995,0.0119995,84,119082.0,True,True,True,3,1,1,100,42150,8578961,28,28,6,6
miconic,s14-4.pddl,greedyResumeWalker, ,success,12340,1s_easy,64.0,1,0,834,208,6537, ,64,0.11,0.01,84,116699.0,True,True,True,3,1,1,100,36672,7374746,27,28,6,6
miconic,s15-0.pddl,greedyResumeWalker, ,success,12532,1s_easy,61.0,1,0,962,240,8231, ,61,0.16,0.01,90,112441.0,True,True,True,0,0,0,100,32269,7244123,30,30,6,6
miconic,s15-1.pddl,greedyResumeWalker, ,success,13448,1s_easy,72.0,1,0,1342,335,10913, ,72,0.1045038,0.0119987,90,128777.0,True,True,True,2,1,1,100,40693,9017624,30,30,6,6
miconic,s15-2.pddl,greedyResumeWalker, ,success,13200,1s_easy,68.0,1,0,1202,300,10854, ,68,0.15599890000000002,0.0119927,90,121124.0,True,True,True,2,1,1,100,39646,8830306,30,30,6,6
miconic,s15-3.pddl,greedyResumeWalker, ,success,12916,1s_easy,69.0,1,0,1186,296,9075, ,69,0.16876929999999998,0.0159996,90,127128.0,True,True,True,4,1,1,100,36651,8128606,30,30,6,6
miconic,s15-4.pddl,greedyResumeWalker, ,success,12536,1s_easy,69.0,1,0,1042,260,8548, ,69,0.1694167,0.0159988,90,125571.0,True,True,True,0,0,0,100,37322,8355906,30,30,6,6
miconic,s16-0.pddl,greedyResumeWalker, ,success,13244,1s_easy,74.0,1,0,1382,345,11452, ,74,0.1219993,0.0119993,96,105237.0,True,True,True,0,0,0,100,32235,8033545,32,32,6,6
miconic,s16-1.pddl,greedyResumeWalker, ,success,12992,1s_easy,66.0,1,0,986,246,8287, ,66,0.1429165,0.011999,96,114581.0,True,True,True,2,1,1,100,34270,8570598,32,32,6,6
miconic,s16-2.pddl,greedyResumeWalker, ,success,13248,1s_easy,75.0,1,0,1310,327,11074, ,75,0.1926968,0.0199991,96,120745.0,True,True,True,10,4,4,100,33488,8219923,32,32,6,6
