domain,problem,algorithm,unexplained_errors,error,raw_memory,p7_settings_file,cost,coverage,dead_ends,evaluations,expansions,generated,initial_h_value,plan_length,planner_time,search_time,translator_facts,reformulation_time,reformulated_plan_valid,rebuild_plan_valid,solvable,plan_length_difference,macros_used,macros_generated
satellite_hard,p28-HC-pfile8.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,780.0, , ,False, , , 
satellite_hard,p29-HC-pfile9.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,958.0, , ,False, , , 
satellite_hard,p30-HC-pfile10.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1061.0, , ,False, , , 
satellite_hard,p31-HC-pfile11.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,4701.0, , ,False, , , 
satellite_hard,p34-HC-pfile14.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,790.0, , ,False, , , 
satellite_hard,p35-HC-pfile15.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,519.0, , ,False, , , 
satellite_hard,p36-HC-pfile16.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,603.0, , ,False, , , 
zenotravel_hard,p15.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,652.0, , ,False, , , 
zenotravel_hard,p16.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,547.0, , ,False, , , 
zenotravel_hard,p17.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,595.0, , ,False, , , 
zenotravel_hard,p18.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,617.0, , ,False, , , 
zenotravel_hard,p19.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,547.0, , ,False, , , 
zenotravel_hard,p20.pddl,greedyResumeWalker,['Invalid paths was generated!'],success, ,experiment_3, ,0, , , , , , , , , ,3711.0, , ,False, , , 
driverlog_hard,p16.pddl,greedyWalker,['Rebuild plan was not valid!'],success,90792,experiment_3,173.0,1,0,547630,136907,3026880, ,173,18.9179,18.5626,500,158840.0,True,False,True,-1,0,14
driverlog_hard,p18.pddl,greedyWalker, ,success,31164,experiment_3,156.0,1,0,11214,2803,102249, ,156,1.635954,0.959955,825,5823.0,True,True,True,0,0,4
driverlog_hard,p19.pddl,greedyWalker,['Rebuild plan was not valid!'],success,46952,experiment_3,281.0,1,0,62518,15629,461985, ,281,5.00082,4.37183,1050,50763.0,True,False,True,-6,0,34
driverlog_hard,p20.pddl,greedyWalker, ,success,45360,experiment_3,171.0,1,0,8358,2089,122104, ,171,3.4275100000000003,2.69976,1276,17692.0,True,True,True,0,0,1
freecell_hard,p13.pddl,greedyWalker, ,success,65072,experiment_3,87.0,1,13,3271,814,4687, ,87,3.33355,2.19581,369,10058.0,True,True,True,0,0,1
freecell_hard,p15.pddl,greedyWalker, ,success,92936,experiment_3,95.0,1,13,3239,806,4666, ,95,5.0285,2.99171,407,9835.0,True,True,True,8,1,6
freecell_hard,p16.pddl,greedyWalker,['Invalid macros was generated!'],success, ,experiment_3, ,0, , , , , , , , , ,5429.0, , ,False, , , 
freecell_hard,p18.pddl,greedyWalker,['Invalid macros was generated!'],success, ,experiment_3, ,0, , , , , , , , , ,4562.0, , ,False, , , 
freecell_hard,probfreecell-10-1.pddl,greedyWalker, ,success, ,experiment_3, ,0, , , , , , , , , ,3868.0, , ,False, , , 
freecell_hard,probfreecell-10-4.pddl,greedyWalker, ,success,104772,experiment_3,91.0,1,147,6345,1549,8520, ,91,9.76685,7.78741,375,29285.0,True,True,True,0,0,3
freecell_hard,probfreecell-11-2.pddl,greedyWalker, ,success, ,experiment_3, , , , , , , , , , , ,652.0, , ,False, , , 
freecell_hard,probfreecell-11-4.pddl,greedyWalker, ,success,87316,experiment_3, ,0, , , , , , , , ,411,18459.0, , ,False, , , 
freecell_hard,probfreecell-11-5.pddl,greedyWalker, ,success, ,experiment_3, ,0, , , , , , , , , ,4522.0, , ,False, , , 
freecell_hard,probfreecell-12-2.pddl,greedyWalker, ,success, ,experiment_3, , , , , , , , , , , ,661.0, , ,False, , , 
freecell_hard,probfreecell-12-4.pddl,greedyWalker, ,success,90476,experiment_3, ,0, , , , , , , , ,448,18543.0, , ,False, , , 
freecell_hard,probfreecell-13-1.pddl,greedyWalker, ,success, ,experiment_3, , , , , , , , , , , ,763.0, , ,False, , , 
freecell_hard,probfreecell-13-3.pddl,greedyWalker, ,success,125144,experiment_3,108.0,1,88,4834,1186,5711, ,108,13.05471,9.39137,483,35163.0,True,True,True,0,0,6
freecell_hard,probfreecell-13-4.pddl,greedyWalker, ,success,104048,experiment_3, ,0, , , , , , , , ,483,59812.0, , ,False, , , 
freecell_hard,probfreecell-9-5.pddl,greedyWalker,['Invalid macros was generated!'],success,89844,experiment_3, ,0, , , , , , , , ,340,19724.0, , ,False, , , 
logistics_hard,p05.pddl,greedyWalker, ,success,64260,experiment_3,167.0,1,0,8962,2240,896348, ,167,4.61705,3.54771,5168,20083.0,True,True,True,0,0,0
logistics_hard,p06.pddl,greedyWalker, ,success,109952,experiment_3,201.0,1,0,17606,4401,2148852, ,201,12.627,11.019,7192,58896.0,True,True,True,0,0,0
logistics_hard,p07.pddl,greedyWalker, ,success,150608,experiment_3,230.0,1,0,23970,5992,3360123, ,230,34.4633,30.6587,9182,81224.0,True,True,True,0,0,0
logistics_hard,p08.pddl,greedyWalker, ,success,187104,experiment_3,259.0,1,0,24998,6249,4101367, ,259,24.5788,21.7309,12434,72398.0,True,True,True,0,0,0
logistics_hard,p09.pddl,greedyWalker, ,success,309892,experiment_3,307.0,1,0,49582,12395,9254598, ,307,118.113,114.535,15065,262574.0,True,True,True,0,0,0
satellite_hard,p28-HC-pfile8.pddl,greedyWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,2756.0, , ,False, , , 
satellite_hard,p29-HC-pfile9.pddl,greedyWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,1313.0, , ,False, , , 
satellite_hard,p30-HC-pfile10.pddl,greedyWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,2044.0, , ,False, , , 
satellite_hard,p31-HC-pfile11.pddl,greedyWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,3403.0, , ,False, , , 
satellite_hard,p34-HC-pfile14.pddl,greedyWalker,['Invalid paths was generated!'],success, ,experiment_3, , , , , , , , , , , ,639.0, , ,False, , , 
